"Ativo","Nome","CNPJ","codigo ambima","classificacaoão|Anbima","Gestora|","Administradora","Link para o|regulamento (antigo)","Tipo de|investidor","Taxa de|Adm| max|em % a.a.","Investimento|no Exterior","Benchmark","t-zero","t-limite","patrimonio ","Pat|Medio|12 meses|em milhares","Pat|vs Media|de 12 meses|em %","Cota|||em reais","Cota|Maxima em|12 meses|em reais","Data|da Cota|Maxima|12 meses","Cota Atual|vs|Max 12 meses|em %","Media de|Cotistas|1 mês|em unidades","Captação|Liquida|no Mis|em milhares","Captação|Liquida|no Ano|em milhares","Captação|Liquida|em 12 meses|em milhares","Retorno|1 mês||em %","Premio|vs IBOV|1 mês|em dif. de p.p.","Retorno|3 meses||em %","Premio|vs IBOV|3 meses|em dif. de p.p.","Retorno|6 meses||em %","Preio|vs IBOV|6 meses|em dif. de p.p.","Retorno|12 meses||em %","Premio|vs IBOV|12 meses|em dif. de p.p.","Retorno|24 meses||em %","Premio|vs IBOV|24 meses|em dif. de p.p.","Retorno|36 meses||em %","Premio|vs IBOV|36 meses|em dif. de p.p.","Retorno|no mês||em %","Premio|vs IBOV|no mês|em dif. de p.p.","Retorno|no ano||em %","Premio|vs IBOV|no ano|em dif. de p.p.","Retorno|desde o|Inicio|em %","Premio Medio Anual|vs IBOV|do Inicio|em dif. de p.p.","Data do|Inicio da Serie","Volatilidade|12 meses||em %","Sharpe|12 meses||em unidades","VAR 95%|p/ 1 dia|(últ. 12 meses)|em %","Max Retorno|Mensal|(últ. 12 meses)|em %","Max Premio|Mensal vs IBOV|(últ. 12 meses)|em dif. de p.p.","Min Retorno|Mensal|(últ. 12 meses)|em %","Min Premio|Mensal vs IBOV|(últ. 12 meses)|em dif. de p.p.","Meses|Positivos|(últ. 12 meses)|em unidades","Meses|Negativos|(últ. 12 meses)|em unidades","Meses acima|do IBOV|(últ. 12 meses)|em unidades","Meses abaixo|do IBOV|(últ. 12 meses)|em unidades","Perda Maxima||(últ. 12 meses)|em %","Data|do Pico|Perda Maxima","Data|do Fundo|Perda Maxima","Tempo de|Recuperação|Perda Maxima|em dias úteis","Data de|Recuperação|Perda Maxima","Data da|Carteira|Aberta","Alocação em|Titulos Publicos|(1)|em %","Alocação em|Compromissadas|(2)|em %","Alocação em|Debentures|(3)|em %","Alocação em|Dep. a Prazo|(4)|em %","Alocação|Renda Fixa|(1+2+3+4)|em %","Alocação em|Ações|(5)|em %","Alocação em|BDR's|(6)|em %","Alocação em|UNIT's|(7)|em %","Alocação em|Emp. Cedidos|(8)|em %","Alocação em|Emp. Recebidos|(9)|em %","Alocação NET|em R. Variavel|(5+6+7+8-9)|em %","Alocação em|Investimentos|no Exterior|em %","Alocação em|Cotas de|Fundos|em %","1º Maior|Investimento||em %","1º Maior|Investimento|","2º Maior|Investimento||em %","2º Maior|Investimento|","3º Maior|Investimento||em %","3º Maior|Investimento|","Soma dos 3|Maiores|Investimento|em %"
"511692<Braa>","051 Acoes FIA","34172417000153","511692","Ações Livre","Zero Cinco Um Capital Gestao de Recursos","BTG Pactual Servicos Financeiros SA Dtvm","http://cvmweb.cvm.gov.br/SWB/Sistemas/SCW/CPublica/ResultBuscaPartic.aspx?TpConsulta=2&CNPJNome=34172417000153","Não Há Restricao",0.1,"Até 40 %","Não se Aplica","2019-08-22","2023-03-09",125850.13292,127558.92066,98.66039338,0.9613708,1.1946437,"2022-04-01",80.473433209,51.833333333,-39,-598.43034,8926.79176,-1.3285841525,1.3905279876,1.3818468044,3.6589859592,-9.8585606542,-3.4211665255,-10.25349909,-6.6097157912,-25.570194223,-19.947814684,0.2915051642,-21.788904097,-0.22933213886,-0.36204674734,-0.9642118046,3.2855052399,-3.86292,-2.52978019,"2019-08-22",22.284941162,-1.0068148967,2.3001938541,6.2688357113,2.5282582031,-11.759779154,-5.223822327,5,7,6,6,-23.998720288,"2022-04-01","2022-12-16","-","-","2022-11-30",4.6387022422,8.1968279155,0.1110160998,0,12.946546257,69.330417333,3.4906511118,2.2528016462,4.2100855804,-2.7646660116,76.51928966,9.7942933268,0.20321166191,5.784735927,"Eneva ON - Ações",5.0230201728,"Atmos Fund Ltd / Cod: Fundo Off / Tipo: Outros / Ilhas Cayman  - Investimento no exterior",3.5647275499,"Equatorial ON - Ações",14.372483649
"563404<BraNa>","051 Alocacao Acoes FIA","36498260000186","563404","Ações Livre","Zero Cinco Um Capital Gestao de Recursos","BTG Pactual Servicos Financeiros SA Dtvm","http://cvmweb.cvm.gov.br/SWB/Sistemas/SCW/CPublica/ResultBuscaPartic.aspx?TpConsulta=2&CNPJNome=36498260000186","Não Há Restrição",0.8,"Até 40 %","Não se Aplica","2020-11-27","2023-03-09",10634.07628,4792.950161,221.86911866,0.743374,0.9188869,"2022-04-01",80.899401221,165.94444444,-36.59452,-574.22482,-576.22593,-1.3319851508,1.3871269894,1.1689408926,3.4460800474,-9.7591368428,-3.3217427141,-10.230711758,-6.4033060076,-26.019621907,-20.397242367,"-","-",-0.23303929192,-0.36575390041,-1.0471347059,3.2025823386,-25.6626,-9.9959254519,"2020-11-27",21.432010626,-1.0449557276,2.2120763677,5.9711430586,2.6633333647,-11.327050341,-4.9771109438,5,7,6,6,-23.309060125,"2022-04-01","2022-12-16","-","-","2022-11-30",5.8171786581,10.220886235,0.10684773107,0,16.144912625,66.72723866,3.3595861496,2.1682147444,4.0520077062,-2.6608599208,73.646187339,9.4265428287,0.19558158719,5.5675339863,"Eneva ON - Ações",4.8344186976,"Atmos Fund Ltd / Cod: Fundo Off / Tipo: Outros / Ilhas Cayman  - Investimento no exterior",3.4308812081,"Equatorial ON - Ações",13.832833892
"534684<BraNa>","051 Cajuina FIA","24498658000133","534684","Ações Livre","Zero Cinco Um Capital Gestao de Recursos","BTG Pactual Servicos Financeiros SA Dtvm","http://cvmweb.cvm.gov.br/SWB/Sistemas/SCW/CPublica/ResultBuscaPartic.aspx?TpConsulta=2&CNPJNome=24498658000133","Não Há Restrição",0.13,"Até 40 %","Não se Aplica","2020-03-16","2023-03-09",6383.7586,5839.5679522,109.31902243,2.8077921,3.2244131,"2022-11-03",87.079167989,4,0,0,0,17.536082963,20.255195103,13.278438442,15.555577597,-7.2822075945,-0.84481346575,28.254421714,27.99142549,-10.867851424,-5.2454718854,"-","-",13.177569366,13.044854757,13.317512908,17.567229953,31.234735471,-4.5702993597,"2020-03-16",40.4206986,0.37789713738,4.1979794147,20.388997919,14.429552437,-14.574292088,-11.514003084,7,5,8,4,-27.862251893,"2022-11-03","2022-12-16","-","-","2022-11-30",0,23.077396272,0,0,23.077396272,135.18879154,6.3997142961,0,0,0,141.58850584,0,0,67.440863614,"Outras Oper Passivas e Exigib  - Outras oper passivas e exigib",35.890499948,"Randon Part PN - Ações",23.077396272,"LTN 100000 2023-07-01 - Operações compromissadas",126.40875983
"609218<BraNa>","051 Serrambi FIA","10210096000176","609218","Ações Livre","Zero Cinco Um Capital Gestao de Recursos","BTG Pactual Servicos Financeiros SA Dtvm","http://cvmweb.cvm.gov.br/SWB/Sistemas/SCW/CPublica/ResultBuscaPartic.aspx?TpConsulta=2&CNPJNome=10210096000176","Não Há Restrição",0.4,"Até 40 %","Não se Aplica","2021-08-20","2023-03-09",6611.40136,7643.5563847,86.49640334,1.69613788,2.17906564,"2022-04-01",77.83785164,6,0,0,-523.51451,-1.2812650169,1.4378471233,1.3177536817,3.5948928366,-12.418714805,-5.981320677,-17.620641175,-11.338975068,"-","-","-","-",-0.2219645512,-0.35467915968,-0.93471247483,3.3150045697,-28.545634029,-12.243096735,"2021-08-20",20.361454909,-1.3289758506,2.0992134126,4.9636946307,4.6646402885,-14.229069745,-4.945240257,5,7,4,8,-26.313558411,"2022-04-01","2022-12-16","-","-","2022-11-30",4.466554449,11.533371339,0.10689615944,0,16.106821948,66.75748255,3.3611088704,2.1691974803,4.0538442647,-2.6620659464,73.679567219,9.4308153767,0.19567023387,5.5700574519,"Eneva ON - Ações",4.8366098812,"Atmos Fund Ltd / Cod: Fundo Off / Tipo: Outros / Ilhas Cayman  - Investimento no exterior",4.1890961492,"LTN 100000 2023-07-01 - Operações compromissadas",14.595763482
"311431<BraNa>","1818 Fc FIA","07946573000151","311431","Ações Livre","Guepardo Investimentos Ltda","BTG Pactual Servicos Financeiros SA Dtvm","http://cvmweb.cvm.gov.br/SWB/Sistemas/SCW/CPublica/ResultBuscaPartic.aspx?TpConsulta=2&CNPJNome=07946573000151","Não Há Restrição","-","Até 40 %","Não se Aplica","2012-08-30","2023-03-09",20131.5793,20469.385968,98.34969809,2004.2770565,2378.6212457,"2022-11-03",84.262135475,3,0,0,0,2.7114521799,5.4305643201,-0.66585509112,1.6112840637,-7.7012758065,-1.2638816777,2.6581612214,7.5701743231,21.3199815,26.942361039,56.659630549,34.579221287,2.384970998,2.2522563895,-2.3173226643,1.9323943802,121.7859366,1.840749829,"2012-08-30",22.654956764,-0.41882530502,2.3399159246,10.616256723,6.3424996159,-13.905074749,-5.3218618679,6,6,8,4,-19.762370032,"2022-11-03","2023-03-02","-","-","2022-11-30",0,0.33683862906,0,0,0.33683862906,96.71194075,0,0,3.0568306642,0,99.768771414,0,0,23.676138275,"Vulcabras ON - Ações",18.420328009,"Klabin S/A UNT N2 - Ações",14.134683395,"Ultrapar ON - Ações",56.23114968
"573531<BraNa>","20 Mile FIA","40219215000112","573531","Ações Livre","Ac2 Investimentos Ltda","BTG Pactual Servicos Financeiros SA Dtvm","http://cvmweb.cvm.gov.br/SWB/Sistemas/SCW/CPublica/ResultBuscaPartic.aspx?TpConsulta=2&CNPJNome=40219215000112","Não Há Restrição",0.14,"Até 40 %","Não se Aplica","2021-02-08","2023-03-09",837.14422,1234.6733324,67.802891507,0.2616076,0.5172612,"2022-03-18",50.575531279,2,0,0,0,-15.745964716,-13.026852576,-21.050790691,-18.773651537,-36.379397348,-29.94200322,-48.930619499,-42.560018704,-69.536328678,-63.913949138,"-","-",-7.3722927277,-7.5050073362,-17.343779226,-13.094062181,-73.83924,-41.459679563,"2021-02-08",25.648070261,-2.1479510743,2.62797658,8.4672044839,6.2022251097,-19.868166983,-10.491414179,3,9,2,10,-50.706445058,"2022-03-10","2023-03-09","-","-","2022-11-30",0,27.767268259,0,0,27.767268259,45.524692604,0,0,0,-12.807037285,32.717655318,0,52.480627868,52.480627868,"Ishares Ibovespa Fundo de Indice",27.767268259,"LFT 210100 2028-09-01 - Operações compromissadas",11.724546933,"Vale ON - Ações",91.97244306
"488593<BraNa>","2019rv1 FIA Ie","32395333000153","488593","Ações Invest. no Exterior","BTG Pactual Wm Gestao de Recursos Ltda","BTG Pactual Servicos Financeiros SA Dtvm","http://cvmweb.cvm.gov.br/SWB/Sistemas/SCW/CPublica/ResultBuscaPartic.aspx?TpConsulta=2&CNPJNome=32395333000153","Não Há Restrição",0.7,"Até 100%","Não se Aplica","2019-03-01","2023-03-09",37981.55757,40315.633714,94.210493725,0.8866686,1.0393207,"2022-04-01",85.312319864,1,0,0,0,-2.932001826,-0.21288968592,-0.98275886521,1.2943802896,-9.8257145042,-3.3883203755,-6.0528299104,-0.93904935848,-22.374654528,-16.752274988,-5.0892157642,-27.169625026,-1.022539128,-1.1552537365,-2.8439983363,1.4057187082,-11.33314,-5.639064034,"2019-03-01",18.031879111,-0.99782047443,1.8617291641,5.7920240761,3.1536214827,-8.3546612949,-5.2943722907,6,6,7,5,-16.604355133,"2022-04-01","2022-06-30","-","-","2023-02-28",5.1983639492,12.360546753,0.87186133504,0,18.430772038,65.636581674,0.57690440914,2.9025888364,10.856140224,-15.602823056,64.369392089,6.0213242858,13.54822068,8.4264303522,"Localiza ON - Ações",6.5126883553,"Solar Fundo de Investimento em Direitos Creditorios Não Padronizado Multissetorial  - Cotas de fundos",4.9527199918,"Equatorial ON - Ações",19.891838699
"340189<BraNa>","3 V FIA Ie","17971030000148","340189","Ações Invest. no Exterior","Julius Baer Family Office Brasil Ltda","BNY Mellon Servicos Financeiros Dtvm SA","http://cvmweb.cvm.gov.br/SWB/Sistemas/SCW/CPublica/ResultBuscaPartic.aspx?TpConsulta=2&CNPJNome=17971030000148","Não Há Restriao",0.31,"Até 100%","IBOVESPA FECHAMENTO","2013-06-27","2023-03-09",24106.86447,24774.870223,97.303696257,2.28080438,2.56540714,"2022-04-01",88.906136747,3,0,0,0,-1.7532006027,0.96591153742,0.80503547597,3.0821746308,-6.4259769195,0.011417209229,-3.5518204464,1.6850932951,-11.767095226,-6.1447156875,7.7350057054,-14.345403556,-0.270954394,-0.40366900248,-1.279757373,2.9699596716,128.080438,0.2404595205,"2013-06-27",17.191585245,-0.91671235482,1.7748373578,6.2274572423,2.9262987739,-9.1771889396,-3.1327831932,5,7,8,4,-17.204613767,"2022-04-01","2022-07-14","-","-","2023-02-28",16.221094735,6.6165503389,0.2404213904,0.25820536748,23.336271832,62.757963715,1.1534243629,4.822164108,6.2534020485,-3.7006280703,71.286326164,6.8534903125,0.55862332822,4.180584588,"LFT 210100 2023-09-01 - Titulos publicos",3.5944466204,"Vale ON - Ações",3.1760472339,"Compass Gas PNB - Ações",10.951078442
"461709<BraNa>","333 FIA Ie","29066923000128","461709","Ações Invest. no Exterior","Sonata Gestora de Recursos Ltda","Santander Caceis Brasil Dtvm SA","http://cvmweb.cvm.gov.br/SWB/Sistemas/SCW/CPublica/ResultBuscaPartic.aspx?TpConsulta=2&CNPJNome=29066923000128","Não Há Restriao",0.47,"Até 100%","IBOVESPA FECHAMENTO","2018-03-29","2023-03-09",140657.7023,148422.51831,94.768438039,1.35339053,1.65986492,"2022-10-21",81.536184884,4,0,0,0,1.8050360792,4.5241482193,0.84386879953,3.1210079544,-14.139201502,-7.7018073739,0.21694966599,5.3816094421,15.909035863,21.531415403,53.987023174,31.906613913,2.9904804898,2.8577658813,0.17811162215,4.4278286667,35.339053,1.970844292,"2018-03-29",23.994152937,-0.4675999985,2.4738367863,9.9661644088,6.2679782472,-12.206597924,-5.7988868245,6,6,7,5,-23.659492123,"2022-10-21","2022-12-16","-","-","2022-11-30",0.50682725343,0.80128468191,0.31497576016,0,1.6230876955,93.99304814,0,0.73947070519,0.76017115864,0,95.492690003,1.0828262759,0,13.489030753,"Petrobras PN - Ações",9.2619791709,"Vulcabras ON - Ações",8.5607466677,"BRF SA ON - Ações",31.311756592
"455091<BraNa>","3ax-B FIA Ie","29044629000115","455091","Ações Invest. no Exterior","BTG Pactual Wm Gestao de Recursos Ltda","BTG Pactual Servicos Financeiros SA Dtvm","http://cvmweb.cvm.gov.br/SWB/Sistemas/SCW/CPublica/ResultBuscaPartic.aspx?TpConsulta=2&CNPJNome=29044629000115","Não Há Restrição","-","Até 100%","Não se Aplica","2017-12-18","2023-03-09",58978.26022,61810.911536,95.417230961,187.4820067,218.3235817,"2022-11-04",85.873456839,1,0,0,0,-2.8013389106,-0.082226770428,-0.028263682452,2.2488754724,-9.3262243964,-2.8888302677,-4.9251937138,-0.30288279295,-20.143194932,-14.520815392,4.1850694446,-17.895339817,-0.64477075093,-0.77748535941,-2.1401614783,2.1095555662,41.333474005,-0.44660930289,"2017-12-18",20.097704754,-0.84989519795,2.0765701892,7.2156153332,2.9582532586,-8.5446666652,-4.7847226376,4,8,8,4,-18.487791276,"2022-03-29","2022-06-30",152,"2022-11-04","2023-02-28",3.9712473832,9.2988645017,0.49981665929,0.00068425111447,13.770612795,73.082169044,1.7686956859,1.580660209,6.6586235794,-7.1040138323,75.986134686,14.792905411,2.2385947835,7.9040646127,"Equatorial ON - Ações",7.8004706785,"Localiza ON - Ações",3.9032569949,"Outras Oper Passivas e Exigib  - Outras oper passivas e exigib",19.607792286
