year,month,day,Risk_free
2001,1,2,0.000578516512177885
2001,1,3,0.000577143451664597
2001,1,4,0.000573708734009415
2001,1,5,0.000572677759919316
2001,1,8,0.000572677759919316
2001,1,9,0.00056992715690285
2001,1,10,0.000569583207834512
2001,1,11,0.000567862938623875
2001,1,12,0.000567174633033574
2001,1,15,0.000565797672607005
2001,1,16,0.00056648621102795
2001,1,17,0.000565108959563077
2001,1,18,0.000564420188311487
2001,1,19,0.000563042296562344
2001,1,22,0.000562008528504521
2001,1,23,0.000560974469408393
2001,1,24,0.000559940177481622
2001,1,26,0.000557180785108358
2001,1,29,0.000556490616872907
2001,1,30,0.000555455160792917
2001,1,31,0.000555800332222134
2001,2,1,0.000555800332222134
2001,2,2,0.000555455160792917
2001,2,5,0.000556835730094463
2001,2,6,0.000557525781914592
2001,2,7,0.000558905652724206
2001,2,8,0.000557870836928487
2001,2,9,0.000556490616872907
2001,2,12,0.000558560714125633
2001,2,13,0.000557180785108358
2001,2,14,0.000555455160792917
2001,2,15,0.000560629763640463
2001,2,16,0.000563042296562344
2001,2,19,0.000565453316085041
2001,2,20,0.00056648621102795
2001,2,21,0.000567518814932555
2001,2,22,0.000565453316085041
2001,2,23,0.000564075773581862
2001,2,28,0.000563386827707291
2001,3,1,0.000563042296562344
2001,3,2,0.000561663880944252
2001,3,5,0.000562008528504521
2001,3,6,0.000561319175176323
2001,3,7,0.000561319175176323
2001,3,8,0.000562353117857128
2001,3,9,0.000560974469408393
2001,3,12,0.000562008528504521
2001,3,13,0.000564420188311487
2001,3,14,0.000568551127798855
2001,3,15,0.000598714454099536
2001,3,16,0.000598372949752957
2001,3,19,0.000623224885202944
2001,3,20,0.000592221214901656
2001,3,21,0.000607242109254003
2001,3,22,0.000710500928107649
2001,3,23,0.000694198184646666
2001,3,26,0.000630684196949005
2001,3,27,0.000614391232375056
2001,3,28,0.000617451267316937
2001,3,29,0.000643198087345809
2001,3,30,0.000609967100899667
2001,4,2,0.000615411496255547
2001,4,3,0.00062118808273226
2001,4,4,0.000622546067461371
2001,4,5,0.000613030511885881
2001,4,6,0.000609967100899667
2001,4,9,0.000609626586083323
2001,4,10,0.000606560555752367
2001,4,11,0.00061507144710049
2001,4,12,0.000624921405687928
2001,4,16,0.000667101703584194
2001,4,17,0.000636438722722232
2001,4,18,0.000636438722722232
2001,4,19,0.000643535749986768
2001,4,20,0.000740931194741279
2001,4,23,0.000724752666428685
2001,4,24,0.00072607584297657
2001,4,25,0.000733015243895352
2001,4,26,0.000674479466397315
2001,4,27,0.000650283123832196
2001,4,30,0.000651294249109924
2001,5,2,0.000652641989290714
2001,5,3,0.000638805795460939
2001,5,4,0.000630006659775972
2001,5,7,0.000636100419797003
2001,5,8,0.000632038980256766
2001,5,9,0.000633054703939706
2001,5,10,0.000627634348347783
2001,5,11,0.000646236061584204
2001,5,14,0.000658364908304066
2001,5,15,0.000650283123832196
2001,5,16,0.000639819831121713
2001,5,17,0.000643535749986768
2001,5,18,0.000645223655737937
2001,5,21,0.000644548563286662
2001,5,22,0.000653315684758127
2001,5,23,0.00066206359770149
2001,5,24,0.000644548563286662
2001,5,25,0.000643873412627727
2001,5,28,0.000641847145743668
2001,5,29,0.000640157784800977
2001,5,30,0.000638805795460939
2001,5,31,0.000641847145743668
2001,6,1,0.000653652532491833
2001,6,4,0.000643873412627727
2001,6,5,0.000638467725366354
2001,6,6,0.000640157784800977
2001,6,7,0.000635762116871774
2001,6,8,0.000634747091680765
2001,6,11,0.000636776967439801
2001,6,12,0.000636438722722232
2001,6,13,0.000639481819234788
2001,6,15,0.000649945985060185
2001,6,18,0.00068852654658258
2001,6,19,0.000690862885676324
2001,6,20,0.000681843608617783
2001,6,21,0.000678832642734051
2001,6,22,0.000671798246912658
2001,6,25,0.000673809321597219
2001,6,26,0.000682512414641678
2001,6,27,0.000690862885676324
2001,6,28,0.000699861790053546
2001,6,29,0.000693531357683241
2001,7,2,0.000694198184646666
2001,7,3,0.000719124334864318
2001,7,4,0.000745541590731591
2001,7,5,0.000796882144641131
2001,7,6,0.000760652648750693
2001,7,10,0.000826340168714523
2001,7,11,0.000829886354040355
2001,7,12,0.000859102408867329
2001,7,13,0.000847890798468143
2001,7,16,0.000817945750895888
2001,7,17,0.000802401860710233
2001,7,18,0.000804672425147146
2001,7,19,0.000789076613727957
2001,7,20,0.000769822741858661
2001,7,23,0.000745212484616786
2001,7,24,0.000769822741858661
2001,7,25,0.000754746433813125
2001,7,26,0.000756059715058655
2001,7,27,0.000759668881073594
2001,7,30,0.000746528850868344
2001,7,31,0.000753761269152165
2001,8,1,0.000757044355850667
2001,8,2,0.000747186888474971
2001,8,3,0.000748502614442259
2001,8,6,0.000741919619031251
2001,8,7,0.000750475446693599
2001,8,8,0.000734995701350272
2001,8,9,0.000740931194741279
2001,8,10,0.000732685090042651
2001,8,13,0.000737305032089353
2001,8,14,0.000751132785808295
2001,8,15,0.000740272167604417
2001,8,16,0.000733015243895352
2001,8,17,0.000742578413337469
2001,8,20,0.000732024607714266
2001,8,21,0.000747844809666276
2001,8,22,0.000722436117939651
2001,8,23,0.00072607584297657
2001,8,24,0.000721111719030887
2001,8,27,0.000722767144907266
2001,8,28,0.0007131562451832
2001,8,29,0.000709836778696626
2001,8,30,0.000712160719558597
2001,8,31,0.000709172571077943
2001,9,3,0.000707511557266116
2001,9,4,0.000706182210706174
2001,9,5,0.000708840438164771
2001,9,6,0.000710500928107649
2001,9,10,0.000710500928107649
2001,9,11,0.000731364125385881
2001,9,12,0.000733015243895352
2001,9,13,0.000744883320294321
